SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 500","23,244.30","23,332.50","23,219.45","23,336.30","23,294.95","-","-41.35","-0.18","1012148147","37,015.77","24,144.20","20,385.65","0.65","0.09"
"HDFCBANK","790.00","790.00","777.50","819.60","780.30","-","-39.3","-4.8","29710895","2,324.46","1,020.50","726.65","0.1","-20.25"
"AXISBANK","1,275.00","1,284.00","1,249.10","1,328.50","1,255.70","-","-72.8","-5.48","15983659","2,020.94","1,418.30","1,042.50","-7.55","14.2"
"ICICIBANK","1,444.50","1,480.00","1,439.50","1,444.30","1,452.70","-","8.4","0.58","13244928","1,929.77","1,500.00","1,187.60","7.92","1.92"
"HSCL","742.05","786.85","741.10","741.55","770.45","-","28.9","3.9","14636535","1,117.79","786.85","418.50","14.96","50.1"
"RELIANCE","1,317.20","1,345.90","1,314.90","1,327.20","1,332.20","-","5","0.38","8171095","1,088.90","1,611.80","1,253.20","1.78","-9.7"
"KALYANKJIL","573.90","576.70","563.10","574.40","567.10","-","-7.3","-1.27","14748086","841.51","617.70","327.05","47.91","-3.88"
"PNB","108.26","111.68","107.40","105.77","109.70","-","3.93","3.72","73231686","808.48","135.15","98.50","0.89","-3.18"
"SBIN","1,041.60","1,057.40","1,038.30","1,044.30","1,042.20","-","-2.1","-0.2","6115598","639.92","1,234.70","786.55","0.77","26.69"
"KOTAKBANK","382.00","383.00","376.10","389.95","381.10","-","-8.85","-2.27","14746839","559.88","453.20","345.50","-4.61","-11.04"
"BHARTIARTL","1,901.20","1,939.90","1,901.20","1,908.80","1,939.90","-","31.1","1.63","2578837","498.14","2,174.50","1,740.50","1.5","2.02"
"BAJFINANCE","1,057.00","1,057.30","1,039.00","1,056.30","1,044.00","-","-12.3","-1.16","4413999","461.87","1,102.50","787.90","8.59","10.87"
"BSE","3,575.00","3,640.80","3,550.00","3,581.80","3,616.90","-","35.1","0.98","1240962","446.69","4,446.80","2,021.50","-10.12","47.58"
"ATHERENERG","1,282.20","1,333.90","1,272.60","1,282.20","1,284.00","-","1.8","0.14","3153224","408.40","1,345.00","329.20","32.12","276.15"
"INFY","1,102.00","1,103.80","1,089.20","1,096.50","1,091.90","-","-4.6","-0.42","3266912","357.67","1,728.00","982.40","3.81","-31.18"
"AEGISLOG","1,344.00","1,434.50","1,339.40","1,349.10","1,417.00","-","67.9","5.03","2446107","345.54","1,434.50","576.10","40.48","91.03"
"ADANIPOWER","215.75","219.29","213.71","214.45","218.54","-","4.09","1.91","14556566","315.30","254.20","110.45","-5.7","83.76"
"GABRIEL","1,340.00","1,453.00","1,331.10","1,336.60","1,425.00","-","88.4","6.61","1979297","280.48","1,453.00","795.70","19.13","40.49"
"BHEL","422.40","427.25","415.00","422.00","416.40","-","-5.6","-1.33","6654026","279.51","446.50","205.12","0.52","66.27"
"GROWW","208.28","208.45","202.50","208.30","203.63","-","-4.67","-2.24","12893362","264.12","227.20","112.00","1.87","0"
"MARUTI","13,824.00","13,832.00","13,553.00","13,803.00","13,579.00","-","-224","-1.62","192359","262.34","17,370.00","12,201.00","1.37","9.34"
"MCX","2,749.00","2,825.20","2,739.30","2,747.50","2,813.00","-","65.5","2.38","905964","252.82","3,480.00","1,460.80","0.2","70.57"
"GMRAIRPORT","110.29","111.70","109.69","110.54","111.17","-","0.63","0.57","22509309","249.58","115.64","84.11","2.1","17.81"
"JIOFIN","243.00","243.11","238.81","242.98","239.48","-","-3.5","-1.44","10366759","249.10","338.60","223.30","-2.06","-24.44"
"DIXON","14,300.00","14,535.00","14,165.00","14,329.00","14,501.00","-","172","1.2","169807","244.39","18,471.00","9,600.00","15.87","-9.12"
"CANBK","125.15","129.14","125.06","125.01","127.75","-","2.74","2.19","18843641","240.75","162.89","103.55","-4.44","11.66"
